Year,Region,Average Wage and Salary Income,Average Self-employment Income,Average Government Transfer Income,Average Income from All Sources collected,Median Wage and Salary Income,Median Income from All Sources collected
2015,Northland,1005,141,176,1315,750,1002
2015,Auckland,1512,220,133,1865,1259,1534
2015,Waikato,1178,221,135,1537,1016,1314
2015,Bay of Plenty,1151,225,139,1516,989,1300
2015,Gisborne,1079,158,153,1388,997,1250
2015,Taranaki,1285,270,129,1684,1082,1400
2015,Manawatu-Wanganui,968,131,168,1266,806,1050
2015,Wellington,1512,203,109,1823,1247,1534
2015,Tasman-Nelson-Marlborough,1172,233,135,1541,1040,1331
2015,Canterbury,1435,194,101,1729,1304,1535
2015,Otago,1271,184,110,1563,1114,1391
2015,Southland,1247,200,103,1550,1151,1359
2016,Northland,976,227,164,1367,812,1227
2016,Auckland,1558,336,124,2018,1280,1686
2016,Waikato,1268,364,134,1766,1111,1486
2016,Bay of Plenty,1154,301,136,1591,997,1425
2016,Gisborne,1127,355,151,1633,929,1379
2016,Taranaki,1214,208,136,1558,1042,1387
2016,Manawatu-Wanganui,1077,159,160,1395,945,1227
2016,Wellington,1633,363,102,2098,1381,1726
2016,Tasman-Nelson-Marlborough,1063,377,121,1561,880,1287
2016,Canterbury,1389,300,101,1790,1247,1598
2016,Otago,1209,229,105,1543,1055,1455
2016,Southland,1193,329,111,1633,1080,1518
2017,Northland,1014,224,163,1401,844,1151
2017,Auckland,1628,368,116,2113,1381,1784
2017,Waikato,1298,296,114,1707,1096,1498
2017,Bay of Plenty,1240,298,135,1673,978,1387
2017,Gisborne,1180,262,142,1585,1093,1404
2017,Taranaki,1202,302,134,1637,1018,1393
2017,Manawatu-Wanganui,1102,210,144,1457,999,1240
2017,Wellington,1737,341,104,2182,1551,1900
2017,Tasman-Nelson-Marlborough,1178,342,131,1651,1023,1421
2017,Canterbury,1403,307,107,1817,1249,1588
2017,Otago,1244,253,112,1609,1096,1486
2017,Southland,1063,232,125,1420,990,1282
2018,Northland,1140,336,173,1649,940,1343
2018,Auckland,1746,389,121,2256,1471,1937
2018,Waikato,1396,381,128,1904,1187,1675
2018,Bay of Plenty,1387,384,136,1907,1224,1642
2018,Gisborne,1260,255,131,1646,1170,1448
2018,Taranaki,1342,267,131,1740,1151,1432
2018,Manawatu-Wanganui,1207,196,150,1552,1031,1358
2018,Wellington,1768,363,118,2249,1611,1958
2018,Tasman-Nelson-Marlborough,1262,361,134,1757,1126,1511
2018,Canterbury,1473,365,101,1938,1280,1681
2018,Otago,1379,334,113,1826,1237,1720
2018,Southland,1123,259,121,1503,1092,1436
2019,Northland,1096,429,176,1701,863,1311
2019,Auckland,1730,387,133,2249,1534,1967
2019,Waikato,1432,378,144,1955,1249,1726
2019,Bay of Plenty,1365,344,164,1874,1197,1657
2019,Gisborne,1322,293,181,1795,1151,1522
2019,Taranaki,1259,350,126,1735,1094,1418
2019,Manawatu-Wanganui,1292,240,163,1695,1126,1482
2019,Wellington,1850,331,105,2287,1663,1996
2019,Tasman-Nelson-Marlborough,1321,356,126,1803,1120,1605
2019,Canterbury,1495,396,120,2011,1323,1740
2019,Otago,1328,283,123,1734,1236,1536
2019,Southland,1295,553,119,1967,1210,1553
2020,Northland,1092,359,187,1638,921,1339
2020,Auckland,1720,357,141,2217,1494,1918
2020,Waikato,1444,378,156,1978,1240,1712
2020,Bay of Plenty,1390,339,190,1919,1200,1630
2020,Gisborne,1329,339,213,1881,1125,1612
2020,Taranaki,1378,418,148,1945,1231,1657
2020,Manawatu-Wanganui,1308,169,179,1656,1151,1435
2020,Wellington,1884,284,121,2289,1678,2072
2020,Tasman-Nelson-Marlborough,1293,382,145,1819,1140,1619
2020,Canterbury,1481,336,136,1953,1304,1738
2020,Otago,1285,295,133,1713,1156,1536
2020,Southland,1145,359,131,1635,1092,1500
