Region,destination,amount,year
Northland,Northland,5978,2015
Auckland,Northland,132,2015
Waikato,Northland,75,2015
Bay of Plenty,Northland,36,2015
Taranaki,Northland,15,2015
Manawatu-Wanganui,Northland,8,2015
Tasman-Nelson-Marlborough,Northland,9,2015
Canterbury,Northland,24,2015
Otago,Northland,0,2015
Southland,Northland,13,2015
Northland,Waitemata,745,2015
Auckland,Waitemata,6177,2015
Waikato,Waitemata,639,2015
Bay of Plenty,Waitemata,198,2015
Taranaki,Waitemata,70,2015
Manawatu-Wanganui,Waitemata,34,2015
Tasman-Nelson-Marlborough,Waitemata,46,2015
Canterbury,Waitemata,130,2015
Otago,Waitemata,0,2015
Southland,Waitemata,66,2015
Northland,Auckland,145,2015
Auckland,Auckland,10079,2015
Waikato,Auckland,221,2015
Bay of Plenty,Auckland,116,2015
Taranaki,Auckland,42,2015
Manawatu-Wanganui,Auckland,12,2015
Tasman-Nelson-Marlborough,Auckland,25,2015
Canterbury,Auckland,86,2015
Otago,Auckland,0,2015
Southland,Auckland,45,2015
Northland,Counties Manukau,147,2015
Auckland,Counties Manukau,1213,2015
Waikato,Counties Manukau,192,2015
Bay of Plenty,Counties Manukau,77,2015
Taranaki,Counties Manukau,29,2015
Manawatu-Wanganui,Counties Manukau,15,2015
Tasman-Nelson-Marlborough,Counties Manukau,12,2015
Canterbury,Counties Manukau,42,2015
Otago,Counties Manukau,0,2015
Southland,Counties Manukau,29,2015
Northland,Waikato,65,2015
Auckland,Waikato,140,2015
Waikato,Waikato,9786,2015
Bay of Plenty,Waikato,335,2015
Taranaki,Waikato,96,2015
Manawatu-Wanganui,Waikato,28,2015
Tasman-Nelson-Marlborough,Waikato,24,2015
Canterbury,Waikato,35,2015
Otago,Waikato,0,2015
Southland,Waikato,47,2015
Northland,Lakes,11,2015
Auckland,Lakes,32,2015
Waikato,Lakes,102,2015
Bay of Plenty,Lakes,105,2015
Taranaki,Lakes,7,2015
Manawatu-Wanganui,Lakes,7,2015
Tasman-Nelson-Marlborough,Lakes,9,2015
Canterbury,Lakes,9,2015
Otago,Lakes,0,2015
Southland,Lakes,29,2015
Northland,Bay of Plenty,22,2015
Auckland,Bay of Plenty,65,2015
Waikato,Bay of Plenty,171,2015
Bay of Plenty,Bay of Plenty,7994,2015
Taranaki,Bay of Plenty,12,2015
Manawatu-Wanganui,Bay of Plenty,3,2015
Tasman-Nelson-Marlborough,Bay of Plenty,6,2015
Canterbury,Bay of Plenty,31,2015
Otago,Bay of Plenty,0,2015
Southland,Bay of Plenty,21,2015
Northland,Tairawhiti,4,2015
Auckland,Tairawhiti,11,2015
Waikato,Tairawhiti,17,2015
Bay of Plenty,Tairawhiti,16,2015
Taranaki,Tairawhiti,1,2015
Manawatu-Wanganui,Tairawhiti,3,2015
Tasman-Nelson-Marlborough,Tairawhiti,3,2015
Canterbury,Tairawhiti,9,2015
Otago,Tairawhiti,0,2015
Southland,Tairawhiti,0,2015
Northland,Taranaki,6,2015
Auckland,Taranaki,21,2015
Waikato,Taranaki,28,2015
Bay of Plenty,Taranaki,9,2015
Taranaki,Taranaki,3958,2015
Manawatu-Wanganui,Taranaki,22,2015
Tasman-Nelson-Marlborough,Taranaki,5,2015
Canterbury,Taranaki,14,2015
Otago,Taranaki,0,2015
Southland,Taranaki,4,2015
Northland,Hawkes Bay,15,2015
Auckland,Hawkes Bay,37,2015
Waikato,Hawkes Bay,51,2015
Bay of Plenty,Hawkes Bay,40,2015
Taranaki,Hawkes Bay,27,2015
Manawatu-Wanganui,Hawkes Bay,24,2015
Tasman-Nelson-Marlborough,Hawkes Bay,9,2015
Canterbury,Hawkes Bay,30,2015
Otago,Hawkes Bay,0,2015
Southland,Hawkes Bay,16,2015
Northland,MidCentral,9,2015
Auckland,MidCentral,17,2015
Waikato,MidCentral,28,2015
Bay of Plenty,MidCentral,24,2015
Taranaki,MidCentral,19,2015
Manawatu-Wanganui,MidCentral,80,2015
Tasman-Nelson-Marlborough,MidCentral,17,2015
Canterbury,MidCentral,25,2015
Otago,MidCentral,0,2015
Southland,MidCentral,9,2015
Northland,Whanganui,3,2015
Auckland,Whanganui,5,2015
Waikato,Whanganui,32,2015
Bay of Plenty,Whanganui,12,2015
Taranaki,Whanganui,45,2015
Manawatu-Wanganui,Whanganui,2724,2015
Tasman-Nelson-Marlborough,Whanganui,5,2015
Canterbury,Whanganui,8,2015
Otago,Whanganui,0,2015
Southland,Whanganui,2,2015
Northland,Capital and Coast,33,2015
Auckland,Capital and Coast,108,2015
Waikato,Capital and Coast,115,2015
Bay of Plenty,Capital and Coast,75,2015
Taranaki,Capital and Coast,148,2015
Manawatu-Wanganui,Capital and Coast,208,2015
Tasman-Nelson-Marlborough,Capital and Coast,68,2015
Canterbury,Capital and Coast,98,2015
Otago,Capital and Coast,0,2015
Southland,Capital and Coast,61,2015
Northland,Hutt Valley,1,2015
Auckland,Hutt Valley,12,2015
Waikato,Hutt Valley,17,2015
Bay of Plenty,Hutt Valley,8,2015
Taranaki,Hutt Valley,10,2015
Manawatu-Wanganui,Hutt Valley,12,2015
Tasman-Nelson-Marlborough,Hutt Valley,5,2015
Canterbury,Hutt Valley,16,2015
Otago,Hutt Valley,0,2015
Southland,Hutt Valley,5,2015
Northland,Wairarapa,1,2015
Auckland,Wairarapa,1,2015
Waikato,Wairarapa,3,2015
Bay of Plenty,Wairarapa,4,2015
Taranaki,Wairarapa,4,2015
Manawatu-Wanganui,Wairarapa,4,2015
Tasman-Nelson-Marlborough,Wairarapa,5,2015
Canterbury,Wairarapa,3,2015
Otago,Wairarapa,0,2015
Southland,Wairarapa,3,2015
Northland,Nelson Marlborough,3,2015
Auckland,Nelson Marlborough,19,2015
Waikato,Nelson Marlborough,18,2015
Bay of Plenty,Nelson Marlborough,6,2015
Taranaki,Nelson Marlborough,4,2015
Manawatu-Wanganui,Nelson Marlborough,6,2015
Tasman-Nelson-Marlborough,Nelson Marlborough,4871,2015
Canterbury,Nelson Marlborough,160,2015
Otago,Nelson Marlborough,0,2015
Southland,Nelson Marlborough,47,2015
Northland,West Coast,3,2015
Auckland,West Coast,4,2015
Waikato,West Coast,7,2015
Bay of Plenty,West Coast,0,2015
Taranaki,West Coast,2,2015
Manawatu-Wanganui,West Coast,0,2015
Tasman-Nelson-Marlborough,West Coast,34,2015
Canterbury,West Coast,82,2015
Otago,West Coast,0,2015
Southland,West Coast,11,2015
Northland,Canterbury,23,2015
Auckland,Canterbury,40,2015
Waikato,Canterbury,30,2015
Bay of Plenty,Canterbury,20,2015
Taranaki,Canterbury,12,2015
Manawatu-Wanganui,Canterbury,7,2015
Tasman-Nelson-Marlborough,Canterbury,156,2015
Canterbury,Canterbury,12535,2015
Otago,Canterbury,0,2015
Southland,Canterbury,272,2015
Northland,South Canterbury,3,2015
Auckland,South Canterbury,3,2015
Waikato,South Canterbury,6,2015
Bay of Plenty,South Canterbury,5,2015
Taranaki,South Canterbury,3,2015
Manawatu-Wanganui,South Canterbury,0,2015
Tasman-Nelson-Marlborough,South Canterbury,24,2015
Canterbury,South Canterbury,192,2015
Otago,South Canterbury,0,2015
Southland,South Canterbury,109,2015
Northland,Southern,16,2015
Auckland,Southern,38,2015
Waikato,Southern,26,2015
Bay of Plenty,Southern,18,2015
Taranaki,Southern,5,2015
Manawatu-Wanganui,Southern,7,2015
Tasman-Nelson-Marlborough,Southern,48,2015
Canterbury,Southern,177,2015
Otago,Southern,0,2015
Southland,Southern,8950,2015
Northland,Waitemata,777,2016
Auckland,Waitemata,6444,2016
Waikato,Waitemata,630,2016
Bay of Plenty,Waitemata,199,2016
Taranaki,Waitemata,52,2016
Manawatu-Wanganui,Waitemata,28,2016
Tasman-Nelson-Marlborough,Waitemata,56,2016
Canterbury,Waitemata,126,2016
Otago,Waitemata,0,2016
Southland,Waitemata,58,2016
Northland,Auckland,180,2016
Auckland,Auckland,10835,2016
Waikato,Auckland,273,2016
Bay of Plenty,Auckland,134,2016
Taranaki,Auckland,46,2016
Manawatu-Wanganui,Auckland,15,2016
Tasman-Nelson-Marlborough,Auckland,31,2016
Canterbury,Auckland,90,2016
Otago,Auckland,0,2016
Southland,Auckland,77,2016
Northland,Counties Manukau,129,2016
Auckland,Counties Manukau,1296,2016
Waikato,Counties Manukau,227,2016
Bay of Plenty,Counties Manukau,73,2016
Taranaki,Counties Manukau,29,2016
Manawatu-Wanganui,Counties Manukau,12,2016
Tasman-Nelson-Marlborough,Counties Manukau,11,2016
Canterbury,Counties Manukau,39,2016
Otago,Counties Manukau,0,2016
Southland,Counties Manukau,27,2016
Northland,Waikato,60,2016
Auckland,Waikato,159,2016
Waikato,Waikato,10320,2016
Bay of Plenty,Waikato,334,2016
Taranaki,Waikato,100,2016
Manawatu-Wanganui,Waikato,18,2016
Tasman-Nelson-Marlborough,Waikato,20,2016
Canterbury,Waikato,33,2016
Otago,Waikato,0,2016
Southland,Waikato,38,2016
Northland,Lakes,18,2016
Auckland,Lakes,39,2016
Waikato,Lakes,139,2016
Bay of Plenty,Lakes,143,2016
Taranaki,Lakes,5,2016
Manawatu-Wanganui,Lakes,7,2016
Tasman-Nelson-Marlborough,Lakes,6,2016
Canterbury,Lakes,7,2016
Otago,Lakes,0,2016
Southland,Lakes,15,2016
Northland,Bay of Plenty,34,2016
Auckland,Bay of Plenty,70,2016
Waikato,Bay of Plenty,194,2016
Bay of Plenty,Bay of Plenty,8011,2016
Taranaki,Bay of Plenty,10,2016
Manawatu-Wanganui,Bay of Plenty,7,2016
Tasman-Nelson-Marlborough,Bay of Plenty,7,2016
Canterbury,Bay of Plenty,32,2016
Otago,Bay of Plenty,0,2016
Southland,Bay of Plenty,26,2016
Northland,Tairawhiti,4,2016
Auckland,Tairawhiti,7,2016
Waikato,Tairawhiti,12,2016
Bay of Plenty,Tairawhiti,20,2016
Taranaki,Tairawhiti,0,2016
Manawatu-Wanganui,Tairawhiti,2,2016
Tasman-Nelson-Marlborough,Tairawhiti,4,2016
Canterbury,Tairawhiti,5,2016
Otago,Tairawhiti,0,2016
Southland,Tairawhiti,5,2016
Northland,Taranaki,7,2016
Auckland,Taranaki,17,2016
Waikato,Taranaki,27,2016
Bay of Plenty,Taranaki,13,2016
Taranaki,Taranaki,4191,2016
Manawatu-Wanganui,Taranaki,20,2016
Tasman-Nelson-Marlborough,Taranaki,8,2016
Canterbury,Taranaki,12,2016
Otago,Taranaki,0,2016
Southland,Taranaki,15,2016
Northland,Hawkes Bay,10,2016
Auckland,Hawkes Bay,43,2016
Waikato,Hawkes Bay,63,2016
Bay of Plenty,Hawkes Bay,35,2016
Taranaki,Hawkes Bay,15,2016
Manawatu-Wanganui,Hawkes Bay,23,2016
Tasman-Nelson-Marlborough,Hawkes Bay,16,2016
Canterbury,Hawkes Bay,27,2016
Otago,Hawkes Bay,0,2016
Southland,Hawkes Bay,13,2016
Northland,MidCentral,12,2016
Auckland,MidCentral,19,2016
Waikato,MidCentral,31,2016
Bay of Plenty,MidCentral,19,2016
Taranaki,MidCentral,30,2016
Manawatu-Wanganui,MidCentral,92,2016
Tasman-Nelson-Marlborough,MidCentral,16,2016
Canterbury,MidCentral,23,2016
Otago,MidCentral,0,2016
Southland,MidCentral,8,2016
Northland,Whanganui,9,2016
Auckland,Whanganui,14,2016
Waikato,Whanganui,32,2016
Bay of Plenty,Whanganui,16,2016
Taranaki,Whanganui,32,2016
Manawatu-Wanganui,Whanganui,2884,2016
Tasman-Nelson-Marlborough,Whanganui,6,2016
Canterbury,Whanganui,14,2016
Otago,Whanganui,0,2016
Southland,Whanganui,10,2016
Northland,Capital and Coast,37,2016
Auckland,Capital and Coast,130,2016
Waikato,Capital and Coast,156,2016
Bay of Plenty,Capital and Coast,65,2016
Taranaki,Capital and Coast,129,2016
Manawatu-Wanganui,Capital and Coast,223,2016
Tasman-Nelson-Marlborough,Capital and Coast,74,2016
Canterbury,Capital and Coast,111,2016
Otago,Capital and Coast,0,2016
Southland,Capital and Coast,77,2016
Northland,Hutt Valley,6,2016
Auckland,Hutt Valley,10,2016
Waikato,Hutt Valley,11,2016
Bay of Plenty,Hutt Valley,10,2016
Taranaki,Hutt Valley,0,2016
Manawatu-Wanganui,Hutt Valley,9,2016
Tasman-Nelson-Marlborough,Hutt Valley,8,2016
Canterbury,Hutt Valley,13,2016
Otago,Hutt Valley,0,2016
Southland,Hutt Valley,4,2016
Northland,Wairarapa,2,2016
Auckland,Wairarapa,2,2016
Waikato,Wairarapa,3,2016
Bay of Plenty,Wairarapa,5,2016
Taranaki,Wairarapa,5,2016
Manawatu-Wanganui,Wairarapa,2,2016
Tasman-Nelson-Marlborough,Wairarapa,8,2016
Canterbury,Wairarapa,4,2016
Otago,Wairarapa,0,2016
Southland,Wairarapa,2,2016
Northland,Nelson Marlborough,10,2016
Auckland,Nelson Marlborough,17,2016
Waikato,Nelson Marlborough,17,2016
Bay of Plenty,Nelson Marlborough,11,2016
Taranaki,Nelson Marlborough,5,2016
Manawatu-Wanganui,Nelson Marlborough,8,2016
Tasman-Nelson-Marlborough,Nelson Marlborough,5162,2016
Canterbury,Nelson Marlborough,207,2016
Otago,Nelson Marlborough,0,2016
Southland,Nelson Marlborough,56,2016
Northland,West Coast,1,2016
Auckland,West Coast,7,2016
Waikato,West Coast,5,2016
Bay of Plenty,West Coast,3,2016
Taranaki,West Coast,0,2016
Manawatu-Wanganui,West Coast,1,2016
Tasman-Nelson-Marlborough,West Coast,35,2016
Canterbury,West Coast,78,2016
Otago,West Coast,0,2016
Southland,West Coast,20,2016
Northland,Canterbury,38,2016
Auckland,Canterbury,56,2016
Waikato,Canterbury,50,2016
Bay of Plenty,Canterbury,28,2016
Taranaki,Canterbury,21,2016
Manawatu-Wanganui,Canterbury,12,2016
Tasman-Nelson-Marlborough,Canterbury,264,2016
Canterbury,Canterbury,13129,2016
Otago,Canterbury,0,2016
Southland,Canterbury,343,2016
Northland,South Canterbury,1,2016
Auckland,South Canterbury,7,2016
Waikato,South Canterbury,9,2016
Bay of Plenty,South Canterbury,6,2016
Taranaki,South Canterbury,1,2016
Manawatu-Wanganui,South Canterbury,2,2016
Tasman-Nelson-Marlborough,South Canterbury,17,2016
Canterbury,South Canterbury,146,2016
Otago,South Canterbury,0,2016
Southland,South Canterbury,87,2016
Northland,Southern,15,2016
Auckland,Southern,40,2016
Waikato,Southern,24,2016
Bay of Plenty,Southern,10,2016
Taranaki,Southern,10,2016
Manawatu-Wanganui,Southern,4,2016
Tasman-Nelson-Marlborough,Southern,49,2016
Canterbury,Southern,216,2016
Otago,Southern,0,2016
Southland,Southern,9332,2016
Northland,Waitematā,760,2017
Auckland,Waitematā,6094,2017
Waikato,Waitematā,495,2017
Bay of Plenty,Waitematā,186,2017
Taranaki,Waitematā,53,2017
Manawatu-Wanganui,Waitematā,31,2017
Tasman-Nelson-Marlborough,Waitematā,46,2017
Canterbury,Waitematā,118,2017
Otago,Waitematā,0,2017
Southland,Waitematā,73,2017
Northland,Auckland,229,2017
Auckland,Auckland,11133,2017
Waikato,Auckland,284,2017
Bay of Plenty,Auckland,148,2017
Taranaki,Auckland,46,2017
Manawatu-Wanganui,Auckland,18,2017
Tasman-Nelson-Marlborough,Auckland,26,2017
Canterbury,Auckland,87,2017
Otago,Auckland,0,2017
Southland,Auckland,55,2017
Northland,Counties Manukau,136,2017
Auckland,Counties Manukau,1246,2017
Waikato,Counties Manukau,253,2017
Bay of Plenty,Counties Manukau,87,2017
Taranaki,Counties Manukau,31,2017
Manawatu-Wanganui,Counties Manukau,14,2017
Tasman-Nelson-Marlborough,Counties Manukau,20,2017
Canterbury,Counties Manukau,56,2017
Otago,Counties Manukau,0,2017
Southland,Counties Manukau,24,2017
Northland,Waikato,54,2017
Auckland,Waikato,161,2017
Waikato,Waikato,10815,2017
Bay of Plenty,Waikato,343,2017
Taranaki,Waikato,125,2017
Manawatu-Wanganui,Waikato,38,2017
Tasman-Nelson-Marlborough,Waikato,22,2017
Canterbury,Waikato,37,2017
Otago,Waikato,0,2017
Southland,Waikato,29,2017
Northland,Lakes,6,2017
Auckland,Lakes,24,2017
Waikato,Lakes,134,2017
Bay of Plenty,Lakes,115,2017
Taranaki,Lakes,12,2017
Manawatu-Wanganui,Lakes,10,2017
Tasman-Nelson-Marlborough,Lakes,6,2017
Canterbury,Lakes,6,2017
Otago,Lakes,0,2017
Southland,Lakes,14,2017
Northland,Bay of Plenty,27,2017
Auckland,Bay of Plenty,70,2017
Waikato,Bay of Plenty,215,2017
Bay of Plenty,Bay of Plenty,8720,2017
Taranaki,Bay of Plenty,10,2017
Manawatu-Wanganui,Bay of Plenty,12,2017
Tasman-Nelson-Marlborough,Bay of Plenty,12,2017
Canterbury,Bay of Plenty,28,2017
Otago,Bay of Plenty,0,2017
Southland,Bay of Plenty,15,2017
Northland,Tairāwhiti,7,2017
Auckland,Tairāwhiti,15,2017
Waikato,Tairāwhiti,15,2017
Bay of Plenty,Tairāwhiti,20,2017
Taranaki,Tairāwhiti,2,2017
Manawatu-Wanganui,Tairāwhiti,2,2017
Tasman-Nelson-Marlborough,Tairāwhiti,4,2017
Canterbury,Tairāwhiti,7,2017
Otago,Tairāwhiti,0,2017
Southland,Tairāwhiti,2,2017
Northland,Hawke's Bay,18,2017
Auckland,Hawke's Bay,30,2017
Waikato,Hawke's Bay,51,2017
Bay of Plenty,Hawke's Bay,36,2017
Taranaki,Hawke's Bay,23,2017
Manawatu-Wanganui,Hawke's Bay,23,2017
Tasman-Nelson-Marlborough,Hawke's Bay,13,2017
Canterbury,Hawke's Bay,20,2017
Otago,Hawke's Bay,0,2017
Southland,Hawke's Bay,16,2017
Northland,Taranaki,4,2017
Auckland,Taranaki,19,2017
Waikato,Taranaki,34,2017
Bay of Plenty,Taranaki,12,2017
Taranaki,Taranaki,4482,2017
Manawatu-Wanganui,Taranaki,23,2017
Tasman-Nelson-Marlborough,Taranaki,9,2017
Canterbury,Taranaki,9,2017
Otago,Taranaki,0,2017
Southland,Taranaki,9,2017
Northland,MidCentral,15,2017
Auckland,MidCentral,25,2017
Waikato,MidCentral,29,2017
Bay of Plenty,MidCentral,19,2017
Taranaki,MidCentral,30,2017
Manawatu-Wanganui,MidCentral,96,2017
Tasman-Nelson-Marlborough,MidCentral,14,2017
Canterbury,MidCentral,27,2017
Otago,MidCentral,0,2017
Southland,MidCentral,11,2017
Northland,Whanganui,11,2017
Auckland,Whanganui,11,2017
Waikato,Whanganui,38,2017
Bay of Plenty,Whanganui,15,2017
Taranaki,Whanganui,45,2017
Manawatu-Wanganui,Whanganui,3047,2017
Tasman-Nelson-Marlborough,Whanganui,5,2017
Canterbury,Whanganui,6,2017
Otago,Whanganui,0,2017
Southland,Whanganui,9,2017
Northland,Capital and Coast,24,2017
Auckland,Capital and Coast,111,2017
Waikato,Capital and Coast,138,2017
Bay of Plenty,Capital and Coast,79,2017
Taranaki,Capital and Coast,147,2017
Manawatu-Wanganui,Capital and Coast,214,2017
Tasman-Nelson-Marlborough,Capital and Coast,65,2017
Canterbury,Capital and Coast,92,2017
Otago,Capital and Coast,0,2017
Southland,Capital and Coast,64,2017
Northland,Hutt Valley,6,2017
Auckland,Hutt Valley,7,2017
Waikato,Hutt Valley,15,2017
Bay of Plenty,Hutt Valley,8,2017
Taranaki,Hutt Valley,6,2017
Manawatu-Wanganui,Hutt Valley,9,2017
Tasman-Nelson-Marlborough,Hutt Valley,14,2017
Canterbury,Hutt Valley,3,2017
Otago,Hutt Valley,0,2017
Southland,Hutt Valley,10,2017
Northland,Wairarapa,3,2017
Auckland,Wairarapa,2,2017
Waikato,Wairarapa,4,2017
Bay of Plenty,Wairarapa,1,2017
Taranaki,Wairarapa,4,2017
Manawatu-Wanganui,Wairarapa,1,2017
Tasman-Nelson-Marlborough,Wairarapa,2,2017
Canterbury,Wairarapa,5,2017
Otago,Wairarapa,0,2017
Southland,Wairarapa,2,2017
Northland,Nelson Marlborough,10,2017
Auckland,Nelson Marlborough,20,2017
Waikato,Nelson Marlborough,21,2017
Bay of Plenty,Nelson Marlborough,13,2017
Taranaki,Nelson Marlborough,12,2017
Manawatu-Wanganui,Nelson Marlborough,6,2017
Tasman-Nelson-Marlborough,Nelson Marlborough,5430,2017
Canterbury,Nelson Marlborough,188,2017
Otago,Nelson Marlborough,0,2017
Southland,Nelson Marlborough,55,2017
Northland,West Coast,1,2017
Auckland,West Coast,4,2017
Waikato,West Coast,3,2017
Bay of Plenty,West Coast,1,2017
Taranaki,West Coast,2,2017
Manawatu-Wanganui,West Coast,1,2017
Tasman-Nelson-Marlborough,West Coast,55,2017
Canterbury,West Coast,85,2017
Otago,West Coast,0,2017
Southland,West Coast,29,2017
Northland,Canterbury,19,2017
Auckland,Canterbury,56,2017
Waikato,Canterbury,48,2017
Bay of Plenty,Canterbury,27,2017
Taranaki,Canterbury,12,2017
Manawatu-Wanganui,Canterbury,16,2017
Tasman-Nelson-Marlborough,Canterbury,261,2017
Canterbury,Canterbury,11850,2017
Otago,Canterbury,0,2017
Southland,Canterbury,322,2017
Northland,South Canterbury,4,2017
Auckland,South Canterbury,3,2017
Waikato,South Canterbury,7,2017
Bay of Plenty,South Canterbury,3,2017
Taranaki,South Canterbury,1,2017
Manawatu-Wanganui,South Canterbury,3,2017
Tasman-Nelson-Marlborough,South Canterbury,26,2017
Canterbury,South Canterbury,134,2017
Otago,South Canterbury,0,2017
Southland,South Canterbury,79,2017
Northland,Southern,12,2017
Auckland,Southern,33,2017
Waikato,Southern,31,2017
Bay of Plenty,Southern,15,2017
Taranaki,Southern,9,2017
Manawatu-Wanganui,Southern,3,2017
Tasman-Nelson-Marlborough,Southern,50,2017
Canterbury,Southern,213,2017
Otago,Southern,0,2017
Southland,Southern,9931,2017
Northland,Waitematā,738,2018
Auckland,Waitematā,5755,2018
Waikato,Waitematā,454,2018
Bay of Plenty,Waitematā,162,2018
