count,Region,destination,amount,year,Key
1,Northland,Northland,5978,2015,1
3,Auckland,Northland,132,2015,1
5,Waikato,Northland,75,2015,1
7,Bay of Plenty,Northland,36,2015,1
9,Taranaki,Northland,15,2015,1
12,Manawatu-Wanganui,Northland,8,2015,1
16,Tasman-Nelson-Marlborough,Northland,9,2015,1
18,Canterbury,Northland,24,2015,1
20,Otago,Northland,0,2015,1
21,Southland,Northland,13,2015,1
23,Northland,Waitemata,745,2015,1
25,Auckland,Waitemata,6177,2015,1
27,Waikato,Waitemata,639,2015,1
29,Bay of Plenty,Waitemata,198,2015,1
31,Taranaki,Waitemata,70,2015,1
34,Manawatu-Wanganui,Waitemata,34,2015,1
38,Tasman-Nelson-Marlborough,Waitemata,46,2015,1
40,Canterbury,Waitemata,130,2015,1
42,Otago,Waitemata,0,2015,1
43,Southland,Waitemata,66,2015,1
45,Northland,Auckland,145,2015,1
47,Auckland,Auckland,10079,2015,1
49,Waikato,Auckland,221,2015,1
51,Bay of Plenty,Auckland,116,2015,1
53,Taranaki,Auckland,42,2015,1
56,Manawatu-Wanganui,Auckland,12,2015,1
60,Tasman-Nelson-Marlborough,Auckland,25,2015,1
62,Canterbury,Auckland,86,2015,1
64,Otago,Auckland,0,2015,1
65,Southland,Auckland,45,2015,1
67,Northland,Counties Manukau,147,2015,1
69,Auckland,Counties Manukau,1213,2015,1
71,Waikato,Counties Manukau,192,2015,1
73,Bay of Plenty,Counties Manukau,77,2015,1
75,Taranaki,Counties Manukau,29,2015,1
78,Manawatu-Wanganui,Counties Manukau,15,2015,1
82,Tasman-Nelson-Marlborough,Counties Manukau,12,2015,1
84,Canterbury,Counties Manukau,42,2015,1
86,Otago,Counties Manukau,0,2015,1
87,Southland,Counties Manukau,29,2015,1
89,Northland,Waikato,65,2015,1
91,Auckland,Waikato,140,2015,1
93,Waikato,Waikato,9786,2015,1
95,Bay of Plenty,Waikato,335,2015,1
97,Taranaki,Waikato,96,2015,1
100,Manawatu-Wanganui,Waikato,28,2015,1
104,Tasman-Nelson-Marlborough,Waikato,24,2015,1
